Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
46,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-002,Cấu hình chính sách hủy,"Là Chủ cơ sở, tôi muốn cấu hình chính sách hủy đặt phòng, để việc hủy và tính phí hủy áp dụng nhất quán.",Chủ cơ sở,Áp dụng chính sách hủy rõ ràng và công bằng.,Chủ cơ sở khai báo thời hạn hủy miễn phí và mức phí hủy khi quá hạn theo loại phòng.,Đã có thông tin cơ sở.,Chính sách hủy được lưu và áp dụng khi hủy đặt phòng.,QTN-06,Quan trọng,,NCL-10-CN-001,Thành viên một,Chưa thực hiện,
47,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-003,Nhập dữ liệu ban đầu,"Là Quản trị viên, tôi muốn nhập dữ liệu phòng và khách từ tệp có sẵn, để cơ sở nhanh chóng đưa hệ thống vào dùng.",Quản trị viên,Rút ngắn thời gian khởi tạo dữ liệu ban đầu.,"Quản trị viên tải lên tệp danh sách phòng và khách, hệ thống kiểm tra và nạp dữ liệu hợp lệ.",Đã có thông tin cơ sở và tệp dữ liệu theo mẫu.,Dữ liệu hợp lệ được nạp vào hệ thống và bỏ qua dòng lỗi.,QTN-17,Nên có,,"NCL-10-CN-001, NCL-02-CN-002",Thành viên ba,Chưa thực hiện,
48,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-004,Xuất dữ liệu hệ thống,"Là Quản trị viên, tôi muốn xuất dữ liệu đặt phòng và hóa đơn ra tệp, để lưu trữ ngoài hệ thống và phục vụ đối soát.",Quản trị viên,Giữ bản sao dữ liệu ngoài hệ thống để đối soát và lưu trữ.,Quản trị viên chọn khoảng thời gian và loại dữ liệu để xuất ra tệp tải về.,Quản trị viên đã đăng nhập và có dữ liệu để xuất.,Hệ thống tạo tệp dữ liệu đúng phạm vi được chọn.,QTN-17,Nên có,,NCL-10-CN-001,Thành viên ba,Chưa thực hiện,
49,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-005,Sao lưu và phục hồi dữ liệu,"Là Quản trị viên, tôi muốn sao lưu và phục hồi dữ liệu, để bảo vệ hệ thống khi có sự cố mất dữ liệu.",Quản trị viên,Giảm rủi ro mất dữ liệu và phục hồi nhanh khi sự cố.,Quản trị viên tạo bản sao lưu định kỳ và phục hồi hệ thống từ bản sao lưu đã chọn.,Đã có chức năng xuất dữ liệu.,Hệ thống tạo được bản sao lưu và phục hồi từ bản sao lưu hợp lệ.,QTN-17,Có thể phát triển sau,,NCL-10-CN-004,Thành viên ba,Chưa thực hiện,
50,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-001,Cấu hình chính sách đặt cọc,"Là Chủ cơ sở, tôi muốn đặt tỷ lệ tiền cọc cho từng loại phòng và từng mùa, để mỗi đặt phòng đều có mức cọc rõ ràng mà lễ tân không phải hỏi lại.",Chủ cơ sở,"Chuẩn hóa mức cọc, tránh mỗi lễ tân thu một kiểu và tránh tranh cãi với khách.","Chủ cơ sở khai báo tỷ lệ phần trăm tiền cọc trên tổng tiền phòng dự kiến, áp riêng cho từng loại phòng và từng mùa, kèm mốc thời hạn hủy miễn phí đi kèm.",Cơ sở đã khai báo loại phòng và giá theo mùa.,Mỗi loại phòng trong mỗi mùa có một tỷ lệ cọc xác định để hệ thống tự tính khi đặt phòng.,QTN-18,Bắt buộc,3,"NCL-02-CN-003, NCL-10-CN-002",Thành viên một,Chưa thực hiện,
51,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-002,Ghi nhận tiền đặt cọc,"Là Lễ tân, tôi muốn ghi nhận khoản tiền cọc khách đã nộp khi xác nhận đặt phòng, để cơ sở giữ được cam kết của khách và biết còn phải thu bao nhiêu khi trả phòng.",Lễ tân,"Ràng buộc khách bằng tiền thật, giảm hủy sát ngày và giảm thất thu.","Khi lễ tân xác nhận đặt phòng, hệ thống tính số tiền cọc theo chính sách rồi cho lễ tân ghi nhận số tiền khách thực nộp cùng hình thức nộp.",Đặt phòng đã được tạo và cơ sở đã cấu hình tỷ lệ cọc cho loại phòng tương ứng.,"Đặt phòng có một khoản cọc ở trạng thái đã thu, gắn với đúng đặt phòng đó.",QTN-18,Bắt buộc,5,"NCL-11-CN-001, NCL-03-CN-003",Thành viên ba,Chưa thực hiện,
52,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-003,Trừ tiền cọc vào hóa đơn khi trả phòng,"Là Lễ tân, tôi muốn hệ thống tự trừ tiền cọc đã thu vào hóa đơn lúc trả phòng, để chỉ thu thêm đúng phần khách còn thiếu và không thu trùng.",Lễ tân,Tránh thu trùng tiền của khách và tránh sai lệch giữa tiền cọc với doanh thu.,"Khi lập hóa đơn lưu trú, hệ thống tìm khoản cọc của đặt phòng, trừ vào tổng tiền và hiển thị rõ số còn phải trả.",Đặt phòng có khoản cọc ở trạng thái đã thu và khách đang làm thủ tục trả phòng.,"Hóa đơn thể hiện tổng tiền, số tiền cọc đã trừ và số còn phải trả, khoản cọc chuyển sang trạng thái đã trừ vào hóa đơn.",QTN-12,Bắt buộc,3,"NCL-11-CN-002, NCL-05-CN-002",Thành viên ba,Chưa thực hiện,
53,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-004,Tính phí hủy theo chính sách,"Là Lễ tân, tôi muốn hệ thống tự tính phí hủy dựa trên thời điểm khách hủy, để thu đúng phí mà không phải tra cứu chính sách bằng tay.",Lễ tân,Bảo vệ doanh thu khi khách hủy sát ngày và làm rõ căn cứ tính phí với khách.,"Khi lễ tân hủy đặt phòng có cọc, hệ thống so ngày hủy với các mốc trong chính sách rồi tính phần phí giữ lại và phần hoàn cho khách.",Đặt phòng có khoản cọc đã thu và cơ sở đã cấu hình các mốc thời hạn hủy.,"Hệ thống hiển thị số phí hủy và số tiền sẽ hoàn, chờ lễ tân xác nhận.",QTN-19,Bắt buộc,5,"NCL-11-CN-002, NCL-03-CN-005",Thành viên ba,Chưa thực hiện,
54,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-005,Hoàn tiền cọc cho khách,"Là Kế toán, tôi muốn ghi nhận việc hoàn phần tiền cọc còn lại cho khách, để khoản cọc được quyết toán dứt điểm và không treo trên sổ.",Kế toán,"Đóng vòng đời của khoản cọc, giúp đối soát tiền cuối kỳ khớp nhau.","Sau khi hủy đặt phòng và tính xong phí hủy, kế toán ghi nhận đã hoàn phần còn lại cho khách kèm hình thức hoàn và thời điểm hoàn.",Khoản cọc đã được tính phí hủy và còn phần phải hoàn lớn hơn không.,"Khoản cọc chuyển sang trạng thái đã hoàn, phần phí giữ lại được ghi vào doanh thu.",QTN-19,Bắt buộc,5,NCL-11-CN-004,Thành viên ba,Chưa thực hiện,
55,NCL-11,"Tiền đặt cọc, phí hủy và hoàn tiền",NCL-11-CN-006,Xử lý tiền cọc khi khách không đến,"Là Lễ tân, tôi muốn hệ thống tự xử lý khoản cọc khi đánh dấu khách không đến, để phòng được giải phóng và tiền cọc không bị bỏ quên.",Lễ tân,Biến khoản cọc treo thành doanh thu hợp lệ và giải phóng phòng để bán tiếp.,"Khi lễ tân đánh dấu khách không đến, hệ thống chuyển toàn bộ khoản cọc thành phí phạt theo chính sách và trả phòng về trạng thái sẵn sàng.","Đặt phòng đã quá giờ giữ phòng, có khoản cọc chưa quyết toán.","Khoản cọc chuyển sang đã chuyển thành phí phạt, phòng trở lại sẵn sàng để bán.",QTN-20,Bắt buộc,3,"NCL-11-CN-002, NCL-04-CN-003",Thành viên bốn,Chưa thực hiện,
56,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-007,Khóa lạc quan theo số phiên bản,"Là Lễ tân, tôi muốn hệ thống từ chối thao tác dựa trên dữ liệu đã cũ, để không ghi đè mất thay đổi mà đồng nghiệp vừa thực hiện.",Lễ tân,"Ngăn mất dữ liệu âm thầm khi hai người cùng sửa một đặt phòng, đây là chỗ phần mềm quản lý lưu trú hay hỏng nhất.","Mỗi đặt phòng mang một số phiên bản tăng dần. Màn hình gửi kèm số phiên bản khi ghi, máy chủ chỉ chấp nhận nếu số phiên bản còn khớp.",Chức năng gán phòng và sửa đặt phòng đã chạy được.,Mọi thao tác ghi lên đặt phòng đều đi qua kiểm tra số phiên bản.,QTN-21,Bắt buộc,5,NCL-03-CN-004,Thành viên ba,Chưa thực hiện,
57,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-008,Trang minh chứng chống tranh chấp đồng thời,"Là Chủ cơ sở, tôi muốn xem bằng chứng cho thấy hệ thống thật sự chặn được đặt trùng khi nhiều người thao tác cùng lúc, để tin vào con số phòng trống mà hệ thống báo.",Chủ cơ sở,"Biến một khẳng định kỹ thuật thành bằng chứng xem được, dùng trực tiếp khi bảo vệ đồ án.","Một trang trong phần quản trị chạy kịch bản nhiều yêu cầu gán cùng một phòng cùng lúc, rồi hiển thị số yêu cầu thành công, số bị từ chối và nhật ký từng lần va chạm.",Khóa lạc quan theo số phiên bản đã hoạt động.,Có một trang hiển thị kết quả kiểm thử đồng thời với số liệu thật chạy tại chỗ.,QTN-21,Nên có,3,NCL-03-CN-007,Thành viên bốn,Chưa thực hiện,
58,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-007,Gia hạn thêm đêm cho khách đang ở,"Là Lễ tân, tôi muốn gia hạn thêm đêm cho khách đang lưu trú, để giữ khách ở lại mà không phải hủy rồi tạo đặt phòng mới.",Lễ tân,Giữ được doanh thu phát sinh thêm và tránh sai sót do phải làm thủ công.,"Lễ tân chọn số đêm muốn thêm, hệ thống kiểm tra chính phòng đó còn trống các đêm nối tiếp rồi nối thêm vào kỳ lưu trú và tính thêm tiền phòng.",Khách đang ở trạng thái đã nhận phòng và chưa trả phòng.,"Kỳ lưu trú kéo dài thêm đúng số đêm, hóa đơn nháp cập nhật thêm tiền phòng tương ứng.",QTN-22,Bắt buộc,5,"NCL-04-CN-001, NCL-03-CN-003",Thành viên một,Chưa thực hiện,
59,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-008,Nâng hạng phòng giữa kỳ lưu trú,"Là Lễ tân, tôi muốn chuyển khách sang phòng hạng cao hơn giữa kỳ lưu trú, để phục vụ nhu cầu của khách và thu thêm phần chênh lệch giá.",Lễ tân,Tăng doanh thu trên mỗi lượt khách và xử lý được tình huống khách phàn nàn về phòng.,"Lễ tân chọn phòng hạng cao hơn còn trống trọn phần thời gian còn lại, hệ thống chuyển khách và tính chênh lệch giá cho những đêm còn lại.",Khách đang lưu trú và còn ít nhất một đêm chưa ở.,"Khách chuyển sang phòng mới, hóa đơn nháp cộng thêm phần chênh lệch của các đêm còn lại.",QTN-22,Quan trọng,5,"NCL-04-CN-001, NCL-03-CN-006",Thành viên một,Chưa thực hiện,
60,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-001,Ghi nhận giấy tờ tùy thân khi nhận phòng,"Là Lễ tân, tôi muốn ghi nhận giấy tờ tùy thân của khách ngay khi nhận phòng, để có đủ dữ liệu khai báo lưu trú trong ngày.",Lễ tân,Không phải chạy đi hỏi lại khách vào buổi tối khi sắp tới hạn khai báo.,"Trong màn hình nhận phòng, lễ tân nhập họ tên, số định danh cá nhân hoặc số hộ chiếu và lý do lưu trú cho từng khách trong phòng, kể cả khách đi cùng.",Đặt phòng đã xác nhận và khách đang làm thủ tục nhận phòng.,Mỗi khách trong phòng có một bản ghi giấy tờ đủ trường bắt buộc để khai báo.,QTN-23,Bắt buộc,3,NCL-04-CN-001,Thành viên bốn,Chưa thực hiện,
61,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-002,Lập danh sách khai báo lưu trú theo ngày,"Là Lễ tân, tôi muốn xem danh sách khách cần khai báo lưu trú trong ngày, để làm đúng nghĩa vụ thông báo trước mốc thời hạn quy định.",Lễ tân,Tránh bị xử phạt hành chính do quên hoặc chậm thông báo lưu trú.,"Hệ thống gom tất cả khách nhận phòng trong ngày thành một danh sách khai báo, đánh dấu khách nào còn thiếu giấy tờ và nhắc lễ tân trước mốc 23 giờ.",Đã có khách nhận phòng trong ngày và đã ghi nhận giấy tờ tùy thân.,"Có một danh sách khai báo cho mỗi ngày, nêu rõ đã đủ dữ liệu hay còn thiếu.",QTN-23,Bắt buộc,5,NCL-12-CN-001,Thành viên bốn,Chưa thực hiện,
62,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-003,Kết xuất tệp khai báo lưu trú,"Là Lễ tân, tôi muốn kết xuất danh sách khai báo ra tệp theo mẫu, để nộp cho cơ quan đăng ký cư trú mà không phải gõ lại từng người.",Lễ tân,Rút thời gian khai báo từ mười lăm phút gõ tay xuống một lần bấm nút.,"Hệ thống kết xuất danh sách khách trong ngày ra tệp bảng tính theo mẫu đã thống nhất, gồm họ tên, số giấy tờ, lý do lưu trú, thời gian lưu trú và địa chỉ lưu trú.",Danh sách khai báo của ngày đã đủ dữ liệu bắt buộc.,Có một tệp kết xuất và một dấu vết ghi lại lần kết xuất đó.,QTN-23,Bắt buộc,3,NCL-12-CN-002,Thành viên bốn,Chưa thực hiện,
63,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-004,Che thông tin cá nhân theo vai trò,"Là Chủ cơ sở, tôi muốn số giấy tờ của khách chỉ hiện đầy đủ với người thực sự cần, để cơ sở không làm lộ dữ liệu cá nhân của khách.",Chủ cơ sở,Giảm rủi ro lộ dữ liệu cá nhân và làm đúng nghĩa vụ theo Luật Bảo vệ dữ liệu cá nhân.,"Số định danh cá nhân và số hộ chiếu hiển thị đầy đủ với Lễ tân đang phục vụ và Chủ cơ sở, còn các vai trò khác chỉ thấy bốn số cuối, phần đầu thay bằng dấu sao.",Đã có dữ liệu giấy tờ tùy thân của khách trong hệ thống.,Mọi màn hình và mọi tệp kết xuất đều áp đúng mức che theo vai trò người đang đăng nhập.,QTN-24,Bắt buộc,5,"NCL-12-CN-001, NCL-01-CN-003",Thành viên bốn,Chưa thực hiện,
64,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-005,Xóa dữ liệu cá nhân của khách theo yêu cầu,"Là Quản trị viên, tôi muốn xóa dữ liệu cá nhân của một khách khi khách yêu cầu, để cơ sở đáp ứng đúng quyền của khách theo pháp luật.",Quản trị viên,Đáp ứng quyền yêu cầu xóa dữ liệu mà Luật Bảo vệ dữ liệu cá nhân trao cho khách.,"Quản trị viên tiếp nhận yêu cầu, hệ thống kiểm tra khách còn ràng buộc hóa đơn chưa quyết toán không, rồi xóa dữ liệu cá nhân nhưng vẫn giữ số liệu doanh thu ở dạng không định danh.",Khách gửi yêu cầu xóa và đã hoàn tất mọi nghĩa vụ thanh toán.,"Dữ liệu cá nhân của khách bị xóa, các bản ghi doanh thu vẫn còn nhưng không còn truy ra được người cụ thể.",QTN-24,Quan trọng,3,NCL-12-CN-004,Thành viên bốn,Chưa thực hiện,
65,NCL-12,Khai báo lưu trú và bảo vệ dữ liệu cá nhân của khách,NCL-12-CN-006,Nhật ký truy cập dữ liệu cá nhân,"Là Chủ cơ sở, tôi muốn biết ai đã xem hoặc kết xuất dữ liệu cá nhân của khách, để truy được trách nhiệm khi có sự cố lộ thông tin.",Chủ cơ sở,"Có bằng chứng khi cần giải trình, và bản thân việc ghi nhật ký làm người dùng cẩn trọng hơn.","Hệ thống ghi lại mọi lần xem đầy đủ số giấy tờ và mọi lần kết xuất danh sách có dữ liệu cá nhân, cho phép lọc theo người dùng và theo khoảng thời gian.",Đã có lớp che dữ liệu theo vai trò hoạt động.,"Có một trang nhật ký truy cập tra cứu được, chỉ Chủ cơ sở và Quản trị viên xem được.",QTN-24,Quan trọng,3,"NCL-12-CN-004, NCL-08-CN-002",Thành viên bốn,Chưa thực hiện,
66,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-001,Tạo hồ sơ đặt phòng theo đoàn,"Là Lễ tân, tôi muốn tạo một hồ sơ đặt phòng cho cả đoàn khách, để không phải nhập lặp thông tin liên hệ cho từng phòng.",Lễ tân,Rút thời gian nhận một đoàn mười phòng từ nửa tiếng xuống vài phút.,"Lễ tân nhập thông tin người đại diện đoàn, khoảng ngày lưu trú và số phòng cần theo từng loại phòng, hệ thống tạo một hồ sơ đoàn gồm nhiều dòng phòng chưa gán.",Cơ sở đã khai báo loại phòng và giá.,"Có một hồ sơ đoàn ở trạng thái mới tạo, gồm đúng số dòng phòng đã yêu cầu.",QTN-25,Quan trọng,5,NCL-03-CN-002,Thành viên hai,Chưa thực hiện,
67,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-002,Gán phòng hàng loạt cho đoàn,"Là Lễ tân, tôi muốn gán phòng cho cả đoàn trong một lần thao tác, để không phải kéo từng phòng trên lịch và không sót phòng nào.",Lễ tân,Giảm sai sót khi gán nhiều phòng và bảo đảm không phòng nào bị trùng.,"Hệ thống gợi ý danh sách phòng còn trống đủ số lượng theo loại, lễ tân duyệt rồi gán cả loạt trong một giao dịch, thành công trọn vẹn hoặc không thay đổi gì.",Hồ sơ đoàn đã tạo và còn dòng phòng chưa gán.,"Mọi dòng phòng trong đoàn đều được gán phòng cụ thể, hồ sơ đoàn chuyển sang đã xác nhận.",QTN-25,Quan trọng,5,"NCL-13-CN-001, NCL-03-CN-007",Thành viên hai,Chưa thực hiện,
68,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-003,Tách hoặc gộp hóa đơn cho đoàn,"Là Kế toán, tôi muốn chọn xuất một hóa đơn chung cho cả đoàn hoặc hóa đơn riêng từng phòng, để đáp ứng cách thanh toán mà đoàn khách yêu cầu.",Kế toán,Phục vụ được cả đoàn công ty trả gộp lẫn đoàn bạn bè chia tiền từng phòng.,"Khi đoàn trả phòng, kế toán chọn gộp toàn bộ tiền phòng và phụ thu vào một hóa đơn, hoặc tách thành nhiều hóa đơn theo từng phòng.",Hồ sơ đoàn đã xác nhận và các phòng đã nhận phòng.,"Đoàn có hóa đơn theo đúng cách đã chọn, tổng tiền các hóa đơn bằng tổng tiền của đoàn.",QTN-12,Nên có,3,"NCL-13-CN-002, NCL-05-CN-002",Thành viên ba,Chưa thực hiện,
69,NCL-13,Đặt phòng theo đoàn,NCL-13-CN-004,Hủy một phần số phòng trong đoàn,"Là Lễ tân, tôi muốn hủy bớt vài phòng trong đoàn mà không hủy cả hồ sơ, để xử lý được tình huống đoàn giảm số người sát ngày đến.",Lễ tân,Giữ lại phần lớn doanh thu của đoàn thay vì mất trắng cả hồ sơ.,"Lễ tân chọn những phòng cần bỏ trong hồ sơ đoàn, hệ thống giải phóng đúng những phòng đó, tính lại tổng tiền đoàn và áp phí hủy theo chính sách cho phần bị bỏ.",Hồ sơ đoàn đã xác nhận và chưa nhận phòng.,"Hồ sơ đoàn còn lại đúng số phòng giữ lại, các phòng bỏ trở về trạng thái trống.",QTN-25,Nên có,3,"NCL-13-CN-002, NCL-11-CN-004",Thành viên hai,Chưa thực hiện,
70,NCL-14,Hoàn thiện chất lượng và bàn giao,NCL-14-CN-001,Kiểm thử đầu cuối toàn luồng lưu trú,"Là Chủ cơ sở, tôi muốn có một bộ kiểm thử chạy trọn luồng từ đặt phòng tới quyết toán, để tin rằng các phần ghép lại vẫn chạy đúng chứ không chỉ đúng từng phần.",Chủ cơ sở,"Phát hiện lỗi ở chỗ nối giữa các nhóm chức năng, vốn là nơi lỗi hay ẩn nhất.","Bộ kiểm thử tự động chạy kịch bản đặt phòng, thu cọc, gán phòng, nhận phòng, ghi phụ thu, gia hạn, trả phòng, trừ cọc, thanh toán, dọn phòng và lên báo cáo.",Toàn bộ nhóm chức năng từ NCL-01 đến NCL-13 đã hoàn thành.,Bộ kiểm thử chạy một lệnh và báo kết quả từng bước trong luồng.,QTN-10,Bắt buộc,5,"NCL-11-CN-003, NCL-06-CN-002, NCL-07-CN-002",Thành viên bốn,Chưa thực hiện,
71,NCL-14,Hoàn thiện chất lượng và bàn giao,NCL-14-CN-002,Dựng bộ dữ liệu trình diễn,"Là Chủ cơ sở, tôi muốn có sẵn dữ liệu mô phỏng giống thật khi mở hệ thống lên, để buổi trình diễn thuyết phục thay vì màn hình trống.",Chủ cơ sở,"Người xem hiểu được giá trị sản phẩm ngay, không phải tưởng tượng.","Bộ dữ liệu gồm hai mươi phòng thuộc bốn loại, giá theo hai mùa, khoảng năm mươi đặt phòng rải trong ba tháng ở đủ các trạng thái, kèm hóa đơn và lịch sử dọn phòng tương ứng.",Các nhóm chức năng chính đã hoàn thành.,Chạy một lệnh là có ngay dữ liệu trình diễn đầy đủ trên bản triển khai.,QTN-17,Bắt buộc,3,NCL-14-CN-001,Thành viên một,Chưa thực hiện,
72,NCL-14,Hoàn thiện chất lượng và bàn giao,NCL-14-CN-003,Viết tài liệu hướng dẫn sử dụng,"Là Chủ cơ sở, tôi muốn có tài liệu hướng dẫn theo từng vai trò, để nhân viên mới tự dùng được mà không cần ai kèm.",Chủ cơ sở,Sản phẩm bàn giao được cho người thật chứ không chỉ chạy được trên máy nhóm.,"Tài liệu gồm phần cho Chủ cơ sở, phần cho Lễ tân và phần cho Nhân viên buồng phòng, mỗi phần đi theo công việc hằng ngày của vai trò đó kèm ảnh màn hình.","Các chức năng đã ổn định, giao diện không còn thay đổi lớn.","Có tài liệu hướng dẫn ba vai trò, đọc xong làm được việc.",QTN-09,Bắt buộc,3,NCL-14-CN-002,Thành viên một,Chưa thực hiện,
73,NCL-14,Hoàn thiện chất lượng và bàn giao,NCL-14-CN-004,Triển khai bản chạy thử,"Là Chủ cơ sở, tôi muốn hệ thống chạy trên một địa chỉ truy cập được từ ngoài, để dùng thử và trình diễn mà không phụ thuộc máy của nhóm.",Chủ cơ sở,"Chứng minh sản phẩm triển khai được thật, đây là điều hội đồng luôn hỏi.","Nhóm đưa hệ thống lên một máy chủ chạy thử, cấu hình cơ sở dữ liệu và tài khoản mẫu cho từng vai trò, kèm hướng dẫn truy cập.",Bộ kiểm thử đầu cuối đã chạy đạt và dữ liệu trình diễn đã sẵn sàng.,"Có địa chỉ truy cập được từ ngoài, đăng nhập được bằng tài khoản mẫu của từng vai trò.",QTN-17,Bắt buộc,3,"NCL-14-CN-001, NCL-14-CN-002",Thành viên bốn,Chưa thực hiện,
74,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-009,Đổi ngày lưu trú cho đặt phòng chưa nhận phòng,"Là Lễ tân, tôi muốn đổi ngày nhận phòng và ngày trả phòng của một đặt phòng chưa nhận phòng, để giữ được khách khi khách xin dời lịch thay vì phải hủy rồi tạo lại một đặt phòng mới.",Lễ tân,"Giữ khách và giữ nguyên khoản cọc khi khách dời lịch, đồng thời không làm đứt lịch sử đặt phòng và không sinh ra trùng phòng.","Lễ tân mở một đặt phòng ở trạng thái mới tạo hoặc đã xác nhận rồi nhập khoảng ngày mới kèm lý do dời lịch. Hệ thống kiểm tra chính phòng đang gán còn trống trọn khoảng ngày mới, tính lại tiền phòng theo bảng giá mùa của từng đêm trong khoảng ngày mới và hiển thị đồng thời số tiền cũ, số tiền mới và phần chênh lệch để lễ tân báo lại cho khách trước khi xác nhận. Nếu phòng đang gán bị vướng một đặt phòng khác trong khoảng ngày mới thì hệ thống từ chối, nêu rõ đêm bị trùng và liệt kê các phòng cùng loại còn trống trọn khoảng ngày để lễ tân chọn, hệ thống không tự ý đổi phòng thay người dùng. Không cho đổi ngày với đặt phòng đã nhận phòng, đã trả phòng, đã hủy hoặc đã đánh dấu khách không đến, vì các trường hợp đó thuộc chức năng gia hạn thêm đêm hoặc trả phòng sớm. Khoản cọc đã thu vẫn gắn nguyên với đặt phòng, hệ thống tính lại mức cọc yêu cầu theo tổng tiền phòng mới và hiển thị phần cọc còn thiếu hoặc phần thừa để xử lý ở bước thu cọc, không tự động thu thêm hay hoàn bớt. Sau khi xác nhận, lịch phòng giải phóng các đêm cũ và giữ các đêm mới trong cùng một thao tác.","Đặt phòng ở trạng thái mới tạo hoặc đã xác nhận, đã được gán phòng, và ngày nhận phòng mới không sớm hơn ngày hiện tại.","Đặt phòng mang khoảng ngày mới trên lịch phòng, các đêm cũ được giải phóng, tiền phòng dự kiến được tính lại, phần chênh lệch cọc được hiển thị, và nhật ký lưu vết lần dời lịch.","QTN-01, QTN-03, QTN-21, QTN-26, QTN-10",Bắt buộc,,"NCL-03-CN-003, NCL-03-CN-007, NCL-11-CN-002",Thành viên một,Chưa thực hiện,
75,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-007,Áp dụng giảm giá cho hóa đơn theo ngưỡng và phê duyệt,"Là Lễ tân, tôi muốn nhập khoản giảm giá kèm lý do cho hóa đơn trước khi thu tiền, để áp đúng mức đã thỏa thuận với khách mà cơ sở vẫn kiểm soát được phần doanh thu bị giảm.",Lễ tân,Quy tắc QTN-12 đã đưa giảm giá vào công thức tổng tiền nhưng chưa có chức năng nào tạo ra khoản giảm đó. Bổ sung để hóa đơn phản ánh đúng số tiền thực thu và mọi khoản giảm đều có người chịu trách nhiệm.,"Trên một hóa đơn chưa thanh toán, lễ tân nhập khoản giảm giá theo số tiền hoặc theo phần trăm kèm lý do bắt buộc. Hệ thống so mức giảm với ngưỡng do Chủ cơ sở cấu hình trong thông tin cơ sở: dưới ngưỡng thì áp ngay, bằng hoặc vượt ngưỡng thì hóa đơn chuyển sang trạng thái chờ duyệt giảm giá, chưa cho ghi nhận thanh toán và chưa cho trả phòng cho tới khi Chủ cơ sở duyệt hoặc từ chối. Giảm giá không được là số âm và không được lớn hơn tổng tiền phòng cộng dịch vụ phụ thu, đúng theo QTN-12. Hóa đơn đã thanh toán không nhận giảm giá trực tiếp mà phải đi qua hóa đơn điều chỉnh theo QTN-11. Sau khi áp, hệ thống tính lại tổng tiền và số còn phải thu, hiển thị khoản giảm thành một dòng riêng có lý do trên hóa đơn để khách nhìn thấy căn cứ. Mỗi hóa đơn chỉ có một khoản giảm giá đang hiệu lực, muốn sửa thì gỡ khoản cũ và nhập lại, mỗi lần nhập, sửa, duyệt hay từ chối đều ghi nhật ký kèm người thao tác và thời điểm. Báo cáo doanh thu lấy số sau giảm giá.","Hóa đơn ở trạng thái nháp hoặc chờ thanh toán, và Chủ cơ sở đã cấu hình ngưỡng giảm giá cần phê duyệt.","Hóa đơn có một dòng giảm giá kèm lý do, tổng tiền và số còn phải thu được tính lại, khoản giảm vượt ngưỡng chỉ có hiệu lực sau khi Chủ cơ sở duyệt.","QTN-12, QTN-11, QTN-09, QTN-27",Bắt buộc,,"NCL-05-CN-002, NCL-01-CN-003, NCL-10-CN-001",Thành viên ba,Chưa thực hiện,
